Date,Merchant,Amount,Frequency,Payday Day,Payday Frequency
2024-09-01 17:57:41.342239,Yoga,40.0,Weekly,Thursday,weekly
2024-09-08 17:57:41.342239,Yoga,40.0,Weekly,Thursday,weekly
2024-09-15 17:57:41.342239,Yoga,40.0,Weekly,Thursday,weekly
2024-09-22 17:57:41.342239,Yoga,40.0,Weekly,Thursday,weekly
2024-09-18 17:57:59.893136,Tennis,12.0,Bi-Weekly,Thursday,weekly
2024-10-02 17:57:59.893136,Tennis,12.0,Bi-Weekly,Thursday,weekly
2024-10-16 17:57:59.893136,Tennis,12.0,Bi-Weekly,Thursday,weekly
2024-09-01 17:58:23.937016,Water,1.99,Daily,Thursday,weekly
2024-09-02 17:58:23.937016,Water,1.99,Daily,Thursday,weekly
2024-09-03 17:58:23.937016,Water,1.99,Daily,Thursday,weekly
2024-09-04 17:58:23.937016,Water,1.99,Daily,Thursday,weekly
2024-09-05 17:58:23.937016,Water,1.99,Daily,Thursday,weekly
2024-09-06 17:58:23.937016,Water,1.99,Daily,Thursday,weekly
2024-09-07 17:58:23.937016,Water,1.99,Daily,Thursday,weekly
2024-09-27 19:42:58.113102,Freedom Final,715.0,Daily,Thursday,weekly
2024-09-28 19:42:58.113102,Freedom Final,715.0,Daily,Thursday,weekly
2024-09-29 19:42:58.113102,Freedom Final,715.0,Daily,Thursday,weekly
2024-09-30 19:42:58.113102,Freedom Final,715.0,Daily,Thursday,weekly
2024-10-01 19:42:58.113102,Freedom Final,715.0,Daily,Thursday,weekly
2024-10-02 19:42:58.113102,Freedom Final,715.0,Daily,Thursday,weekly
2024-10-03 19:42:58.113102,Freedom Final,715.0,Daily,Thursday,weekly
